trial_idx,relation_idx,word1,word2,option_1,option_2,relation_name,relation_category,trial_type,correct_response
1,7,lethargic,fatigue,,,Agent Attribute:State,ATTRIBUTE,example,
1,7,parched,thirst,,,Agent Attribute:State,ATTRIBUTE,example,
1,7,envious,jealousy,,,Agent Attribute:State,ATTRIBUTE,example,
1,7,sad,depression,,,Agent Attribute:State,ATTRIBUTE,example,
1,7,panicked,terror,alarm,terror,Agent Attribute:State,ATTRIBUTE,probe,2.0
2,42,archipelago,islands,,,Mass:Potion,PART-WHOLE,example,
2,42,cake,slice,,,Mass:Potion,PART-WHOLE,example,
2,42,album,tracks,,,Mass:Potion,PART-WHOLE,example,
2,42,air,puff,,,Mass:Potion,PART-WHOLE,example,
2,42,dollar,cents,pocket,cents,Mass:Potion,PART-WHOLE,probe,2.0
3,-1,baseline,baseline,,,baseline,baseline,baseline,
4,10,musician,instrument,,,Agent:Instrument,CASE RELATIONS,example,
4,10,surgeon,scalpel,,,Agent:Instrument,CASE RELATIONS,example,
4,10,jockey,whip,,,Agent:Instrument,CASE RELATIONS,example,
4,10,farmer,plow,,,Agent:Instrument,CASE RELATIONS,example,
4,10,chemist,beaker,reaction,beaker,Agent:Instrument,CASE RELATIONS,probe,2.0
5,3,educate,uninformed,,,Action:Object Attribute,ATTRIBUTE,example,
5,3,clarify,unclear,,,Action:Object Attribute,ATTRIBUTE,example,
5,3,shelter,homeless,,,Action:Object Attribute,ATTRIBUTE,example,
5,3,sand,rough,,,Action:Object Attribute,ATTRIBUTE,example,
5,3,drop,slippery,slippery,wet,Action:Object Attribute,ATTRIBUTE,probe,1.0
6,42,cloth,fibers,,,Mass:Potion,PART-WHOLE,example,
6,42,fleet,ships,,,Mass:Potion,PART-WHOLE,example,
6,42,hand,fingers,,,Mass:Potion,PART-WHOLE,example,
6,42,sentence,words,,,Mass:Potion,PART-WHOLE,example,
6,42,word,letters,pages,letters,Mass:Potion,PART-WHOLE,probe,2.0
7,7,stressed,tension,,,Agent Attribute:State,ATTRIBUTE,example,
7,7,fidgeting,restlessness,,,Agent Attribute:State,ATTRIBUTE,example,
7,7,disgusted,revulsion,,,Agent Attribute:State,ATTRIBUTE,example,
7,7,alarmed,fright,,,Agent Attribute:State,ATTRIBUTE,example,
7,7,worried,concern,concern,nervousness,Agent Attribute:State,ATTRIBUTE,probe,1.0
8,3,feed,hungry,,,Action:Object Attribute,ATTRIBUTE,example,
8,3,loosen,tight,,,Action:Object Attribute,ATTRIBUTE,example,
8,3,solve,puzzling,,,Action:Object Attribute,ATTRIBUTE,example,
8,3,wake,sleeping,,,Action:Object Attribute,ATTRIBUTE,example,
