relation_idx,word1,word2,option_1,option_2,relation_name,relation_category,trial_type,correct_response,trial_idx
-1,baseline,baseline,,,baseline,baseline,baseline,,1
22,fawn,deer,,,Conversion,SIMILAR,example,,2
22,tree,paper,,,Conversion,SIMILAR,example,,2
22,toddler,child,,,Conversion,SIMILAR,example,,2
22,puppy,dog,,,Conversion,SIMILAR,example,,2
22,amateur,professional,professional,specialist,Conversion,SIMILAR,probe,1.0,2
16,nostalgia,reminisce,,,Cause:Compensatory Action,CAUSE-PURPOSE,example,,3
16,grief,weep,,,Cause:Compensatory Action,CAUSE-PURPOSE,example,,3
16,drought,conserve,,,Cause:Compensatory Action,CAUSE-PURPOSE,example,,3
16,exhaustion,sleep,,,Cause:Compensatory Action,CAUSE-PURPOSE,example,,3
16,desperation,beg,beg,last chance,Cause:Compensatory Action,CAUSE-PURPOSE,probe,1.0,3
18,painter,Picasso,,,ClassIndividual,CLASS-INCLUSION,example,,4
18,metal,Gold,,,ClassIndividual,CLASS-INCLUSION,example,,4
18,desert,Sahara,,,ClassIndividual,CLASS-INCLUSION,example,,4
18,scientist,Einstein,,,ClassIndividual,CLASS-INCLUSION,example,,4
18,bird,Eagle,nest,eagle,ClassIndividual,CLASS-INCLUSION,probe,2.0,4
22,kitten,cat,,,Conversion,SIMILAR,example,,5
22,hide,leather,,,Conversion,SIMILAR,example,,5
22,script,movie,,,Conversion,SIMILAR,example,,5
22,barley,beer,,,Conversion,SIMILAR,example,,5
22,dough,bread,crust,bread,Conversion,SIMILAR,probe,2.0,5
2,guess,knowingly,,,Action:Action Nonattribute,NON-ATTRIBUTE,example,,6
2,brag,humbly,,,Action:Action Nonattribute,NON-ATTRIBUTE,example,,6
2,insult,kindly,,,Action:Action Nonattribute,NON-ATTRIBUTE,example,,6
2,idle,productively,,,Action:Action Nonattribute,NON-ATTRIBUTE,example,,6
2,dance,motionlessly,motionlessly,music,Action:Action Nonattribute,NON-ATTRIBUTE,probe,1.0,6
-1,baseline,baseline,,,baseline,baseline,baseline,,7
18,cat,Siamese,,,ClassIndividual,CLASS-INCLUSION,example,,8
18,car,Honda,,,ClassIndividual,CLASS-INCLUSION,example,,8
