trial_idx,relation_idx,word1,word2,option_1,option_2,relation_name,relation_category,trial_type,correct_response
1,45,villain,virtue,,,Object:Nonstate (noun:noun),NON-ATTRIBUTE,example,
1,45,infant,speech,,,Object:Nonstate (noun:noun),NON-ATTRIBUTE,example,
1,45,despair,hope,,,Object:Nonstate (noun:noun),NON-ATTRIBUTE,example,
1,45,tundra,trees,,,Object:Nonstate (noun:noun),NON-ATTRIBUTE,example,
1,45,novice,experience,training,experience,Object:Nonstate (noun:noun),NON-ATTRIBUTE,probe,2.0
2,40,nightclub,dancing,,,Location:Action/Activity,SPACE-TIME,example,
2,40,clinic,treating,,,Location:Action/Activity,SPACE-TIME,example,
2,40,laundromat,washing,,,Location:Action/Activity,SPACE-TIME,example,
2,40,marina,sailing,,,Location:Action/Activity,SPACE-TIME,example,
2,40,lobby,waiting,waiting,front desk,Location:Action/Activity,SPACE-TIME,probe,1.0
3,33,dish,plate,,,Functional,CLASS-INCLUSION,example,
3,33,utensil,fork,,,Functional,CLASS-INCLUSION,example,
3,33,cleaner,soap,,,Functional,CLASS-INCLUSION,example,
3,33,appliance,fridge,,,Functional,CLASS-INCLUSION,example,
3,33,weapon,sword,sword,metal,Functional,CLASS-INCLUSION,probe,1.0
4,-1,baseline,baseline,,,baseline,baseline,baseline,
5,25,wobble,wheel,,,Defective,CONTRAST,example,
5,25,corruption,government,,,Defective,CONTRAST,example,
5,25,blur,photograph,,,Defective,CONTRAST,example,
5,25,tear,page,,,Defective,CONTRAST,example,
5,25,misspelling,word,word,dictionary,Defective,CONTRAST,probe,1.0
6,33,vehicle,truck,,,Functional,CLASS-INCLUSION,example,
6,33,cushion,pillow,,,Functional,CLASS-INCLUSION,example,
6,33,pastry,croissant,,,Functional,CLASS-INCLUSION,example,
6,33,lever,crowbar,,,Functional,CLASS-INCLUSION,example,
6,33,insulation,foam,foam,draft,Functional,CLASS-INCLUSION,probe,1.0
7,-1,baseline,baseline,,,baseline,baseline,baseline,
8,45,void,matter,,,Object:Nonstate (noun:noun),NON-ATTRIBUTE,example,
8,45,vacuum,air,,,Object:Nonstate (noun:noun),NON-ATTRIBUTE,example,
8,45,insomnia,sleep,,,Object:Nonstate (noun:noun),NON-ATTRIBUTE,example,
8,45,rivalry,serenity,,,Object:Nonstate (noun:noun),NON-ATTRIBUTE,example,
8,45,oppression,justice,suppress,justice,Object:Nonstate (noun:noun),NON-ATTRIBUTE,probe,2.0
9,33,filter,screen,,,Functional,CLASS-INCLUSION,example,
9,33,dairy,cheese,,,Functional,CLASS-INCLUSION,example,
9,33,furniture,desk,,,Functional,CLASS-INCLUSION,example,
9,33,grain,wheat,,,Functional,CLASS-INCLUSION,example,
