relation_idx,word1,word2,option_1,option_2,relation_name,relation_category,trial_type,correct_response,trial_idx
-1,baseline,baseline,,,baseline,baseline,baseline,,1
31,환호,열정,,,Expression (Korean Localized),REFERENCE,example,,2
31,신음하기,고통,,,Expression (Korean Localized),REFERENCE,example,,2
31,거수경례,경의,,,Expression (Korean Localized),REFERENCE,example,,2
31,고개끄덕이기,동의,,,Expression (Korean Localized),REFERENCE,example,,2
31,손흔들기,인사,인사,인사,Expression (Korean Localized),REFERENCE,probe,2.0,2
28,승선하다,하선하다,,,Directional (Korean Localized),CONTRAST,example,,3
28,모이다,흩어지다,,,Directional (Korean Localized),CONTRAST,example,,3
28,북쪽,남쪽,,,Directional (Korean Localized),CONTRAST,example,,3
28,보내다,받다,,,Directional (Korean Localized),CONTRAST,example,,3
28,발사,착륙,출발하다,착륙,Directional (Korean Localized),CONTRAST,probe,2.0,3
20,목도리,목,,,Concealment (Korean Localized),REFERENCE,example,,4
20,알리바이,유죄,,,Concealment (Korean Localized),REFERENCE,example,,4
20,부인,수치심,,,Concealment (Korean Localized),REFERENCE,example,,4
20,코트,셔츠,,,Concealment (Korean Localized),REFERENCE,example,,4
20,전등갓,전구,전구,눈부심,Concealment (Korean Localized),REFERENCE,probe,1.0,4
31,놀리기,놀림,,,Expression (Korean Localized),REFERENCE,example,,5
31,포옹,애정,,,Expression (Korean Localized),REFERENCE,example,,5
31,모욕하기,적대감,,,Expression (Korean Localized),REFERENCE,example,,5
31,속삭이기,비밀,,,Expression (Korean Localized),REFERENCE,example,,5
31,치장하기,허영심,자부심,허영심,Expression (Korean Localized),REFERENCE,probe,2.0,5
8,배우,연기,,,Agent:Object (Korean Localized),CASE RELATIONS,example,,6
8,작사가,가사,,,Agent:Object (Korean Localized),CASE RELATIONS,example,,6
8,뜨개공,스웨터,,,Agent:Object (Korean Localized),CASE RELATIONS,example,,6
8,재봉사,원단,,,Agent:Object (Korean Localized),CASE RELATIONS,example,,6
8,정육사,고기,고기,카운터,Agent:Object (Korean Localized),CASE RELATIONS,probe,1.0,6
28,동쪽,서쪽,,,Directional (Korean Localized),CONTRAST,example,,7
28,북서,남동,,,Directional (Korean Localized),CONTRAST,example,,7
28,먼저,나중,,,Directional (Korean Localized),CONTRAST,example,,7
28,높다,낮다,,,Directional (Korean Localized),CONTRAST,example,,7
28,좌현,우현,우현,선수,Directional (Korean Localized),CONTRAST,probe,1.0,7
-1,baseline,baseline,,,baseline,baseline,baseline,,8
31,윙크,호감,,,Expression (Korean Localized),REFERENCE,example,,9
31,키스,사랑,,,Expression (Korean Localized),REFERENCE,example,,9
31,입삐죽이기,실망,,,Expression (Korean Localized),REFERENCE,example,,9
31,눈물,비애,,,Expression (Korean Localized),REFERENCE,example,,9
31,끙끙대기,통증,통증,체육관,Expression (Korean Localized),REFERENCE,probe,1.0,9
20,퍼티,균열,,,Concealment (Korean Localized),REFERENCE,example,,10
20,커튼,창문,,,Concealment (Korean Localized),REFERENCE,example,,10
20,망토,인물,,,Concealment (Korean Localized),REFERENCE,example,,10
20,담쟁이덩굴,벽,,,Concealment (Korean Localized),REFERENCE,example,,10
20,용기,두려움,두려움,자신감,Concealment (Korean Localized),REFERENCE,probe,1.0,10
-1,baseline,baseline,,,baseline,baseline,baseline,,11
28,최고점,최저점,,,Directional (Korean Localized),CONTRAST,example,,12
28,주다,가져가다,,,Directional (Korean Localized),CONTRAST,example,,12
28,까지,부터,,,Directional (Korean Localized),CONTRAST,example,,12
28,접다,펴다,,,Directional (Korean Localized),CONTRAST,example,,12
28,썰물,밀물,약해지다,밀물,Directional (Korean Localized),CONTRAST,probe,2.0,12
31,애원하기,절박함,,,Expression (Korean Localized),REFERENCE,example,,13
