trial_idx,relation_idx,word1,word2,option_1,option_2,relation_name,relation_category,trial_type,correct_response
1,60,영장류,고릴라,,,Taxonomic (Korean Localized),CLASS-INCLUSION,example,
1,60,무기,검,,,Taxonomic (Korean Localized),CLASS-INCLUSION,example,
1,60,꽃,장미,,,Taxonomic (Korean Localized),CLASS-INCLUSION,example,
1,60,게임,체스,,,Taxonomic (Korean Localized),CLASS-INCLUSION,example,
1,60,행성,화성,달,화성,Taxonomic (Korean Localized),CLASS-INCLUSION,probe,2.0
2,58,잔물결,교란,,,Sign:Significant (Korean Localized),REFERENCE,example,
2,58,초록불,진행,,,Sign:Significant (Korean Localized),REFERENCE,example,
2,58,범칙금딱지,위반,,,Sign:Significant (Korean Localized),REFERENCE,example,
2,58,십자가,기독교,,,Sign:Significant (Korean Localized),REFERENCE,example,
2,58,절뚝거림,부상,다리,부상,Sign:Significant (Korean Localized),REFERENCE,probe,2.0
3,49,끝없다,끝나다,,,ObjectAttribute:Noncondition (adjective:adjective) (Korean Localized),NON-ATTRIBUTE,example,
3,49,불가침이다,침해되다,,,ObjectAttribute:Noncondition (adjective:adjective) (Korean Localized),NON-ATTRIBUTE,example,
3,49,무한하다,고갈되다,,,ObjectAttribute:Noncondition (adjective:adjective) (Korean Localized),NON-ATTRIBUTE,example,
3,49,포기할수없다,포기하다,,,ObjectAttribute:Noncondition (adjective:adjective) (Korean Localized),NON-ATTRIBUTE,example,
3,49,불가피하다,막히다,막히다,미래,ObjectAttribute:Noncondition (adjective:adjective) (Korean Localized),NON-ATTRIBUTE,probe,1.0
4,45,아기,말,,,Object:Nonstate (Korean Localized),NON-ATTRIBUTE,example,
4,45,편견,관용,,,Object:Nonstate (Korean Localized),NON-ATTRIBUTE,example,
4,45,경쟁심,평온,,,Object:Nonstate (Korean Localized),NON-ATTRIBUTE,example,
4,45,비관론자,낙관,,,Object:Nonstate (Korean Localized),NON-ATTRIBUTE,example,
4,45,달,대기층,대기층,궤도,Object:Nonstate (Korean Localized),NON-ATTRIBUTE,probe,1.0
5,-1,baseline,baseline,,,baseline,baseline,baseline,
6,49,난공불락이다,정복되다,,,ObjectAttribute:Noncondition (adjective:adjective) (Korean Localized),NON-ATTRIBUTE,example,
6,49,경직되다,구부러지다,,,ObjectAttribute:Noncondition (adjective:adjective) (Korean Localized),NON-ATTRIBUTE,example,
6,49,극복할수없다,극복하다,,,ObjectAttribute:Noncondition (adjective:adjective) (Korean Localized),NON-ATTRIBUTE,example,
6,49,이해불가하다,이해되다,,,ObjectAttribute:Noncondition (adjective:adjective) (Korean Localized),NON-ATTRIBUTE,example,
6,49,철회불가능하다,번복되다,번복되다,최종적이다,ObjectAttribute:Noncondition (adjective:adjective) (Korean Localized),NON-ATTRIBUTE,probe,1.0
7,45,떼쓰기,인내심,,,Object:Nonstate (Korean Localized),NON-ATTRIBUTE,example,
