trial_idx,relation_idx,word1,word2,option_1,option_2,relation_name,relation_category,trial_type,correct_response
1,38,풀,초록색이다,,,ItemAttribute(noun:adjective) (Korean Localized),ATTRIBUTE,example,
1,38,스펀지,흡수력이좋다,,,ItemAttribute(noun:adjective) (Korean Localized),ATTRIBUTE,example,
1,38,달팽이,미끈거리다,,,ItemAttribute(noun:adjective) (Korean Localized),ATTRIBUTE,example,
1,38,성자,덕망있다,,,ItemAttribute(noun:adjective) (Korean Localized),ATTRIBUTE,example,
1,38,차별주의자,혐오적이다,편협하다,혐오적이다,ItemAttribute(noun:adjective) (Korean Localized),ATTRIBUTE,probe,2.0
2,35,해골,살,,,Item:Ex-part/Ex-possession (Korean Localized),PART-WHOLE,example,
2,35,노인,젊음,,,Item:Ex-part/Ex-possession (Korean Localized),PART-WHOLE,example,
2,35,좀비,의식,,,Item:Ex-part/Ex-possession (Korean Localized),PART-WHOLE,example,
2,35,추방자,조국,,,Item:Ex-part/Ex-possession (Korean Localized),PART-WHOLE,example,
2,35,나비,번데기,번데기,날개,Item:Ex-part/Ex-possession (Korean Localized),PART-WHOLE,probe,1.0
3,60,배,카누,,,Taxonomic (Korean Localized),CLASS-INCLUSION,example,
3,60,건물,병원,,,Taxonomic (Korean Localized),CLASS-INCLUSION,example,
3,60,감정,분노,,,Taxonomic (Korean Localized),CLASS-INCLUSION,example,
3,60,용기,병,,,Taxonomic (Korean Localized),CLASS-INCLUSION,example,
3,60,견과류,아몬드,씨,아몬드,Taxonomic (Korean Localized),CLASS-INCLUSION,probe,2.0
4,-1,baseline,baseline,,,baseline,baseline,baseline,
5,35,알코올중독자,맨정신,,,Item:Ex-part/Ex-possession (Korean Localized),PART-WHOLE,example,
5,35,탈영병,보직,,,Item:Ex-part/Ex-possession (Korean Localized),PART-WHOLE,example,
5,35,고아,부모,,,Item:Ex-part/Ex-possession (Korean Localized),PART-WHOLE,example,
